Book,Chapter,Verse,Text
Genesis,1,24,ⲡⲉϫⲁϥ ⲛϭⲓ ⲡⲛⲟⲩⲧⲉ ⲙⲁⲣⲉⲡⲕⲁϩ ⲧⲁⲩⲟ ⲉⲃⲟⲗ ⲛⲟⲩⲯⲩⲭⲏ ⲉⲥⲟⲛϩ ⲕⲁⲧⲁ ⲅⲉⲛⲟⲥ ⲛⲧⲃⲛⲏ ⲙⲛ ⲛϫⲁⲧϥⲉ ⲁⲩⲱ ⲛⲉⲑⲩⲣⲓⲟⲛ ⲙⲡⲕⲁϩ ⲕⲁⲧⲁ ⲅⲉⲛⲟⲥ ⲁⲩⲱ ⲛⲧⲃⲛⲟⲟⲩⲉ ⲕⲁⲧⲁ ⲅⲉⲛⲟⲥ ⲁⲩⲱ ⲁⲥϣⲱⲡⲉ ϩⲓⲛⲁⲓ
Genesis,1,25,ⲁⲡⲛⲟⲩⲧⲉ ⲧⲁⲙⲓⲟ ⲛⲛⲉⲑⲏⲣⲓⲟⲛ ⲙⲡⲕⲁϩ ⲕⲁⲧⲁ ⲅⲉⲛⲟⲥ ⲁⲩⲱ ⲛⲧⲃⲛⲟⲟⲩⲉ ⲕⲁⲧⲁ ⲅⲉⲛⲟⲥ ⲁⲩⲱ ⲛϫⲁⲧϥⲉ ⲧⲏⲣⲟⲩ ⲙⲡⲕⲁϩ ⲕⲁⲧⲁ ⲛⲉⲩⲅⲉⲛⲟⲥ ⲁⲡⲛⲟⲩⲧⲉ ⲛⲁⲩ ϫⲉ ⲛⲁⲛⲟⲩⲟⲩ
Genesis,1,26,ⲡⲉϫⲁϥ ⲛϭⲓ ⲡⲛⲟⲩⲧⲉ ϫⲉ ⲙⲁⲣⲉⲛⲧⲁⲙⲓⲟ ⲛⲟⲩⲣⲱⲙⲉ ⲕⲁⲧⲁ ⲧⲉⲛϩⲓⲕⲱⲛ ⲁⲩⲱ ⲕⲁⲧⲁ ⲡⲉⲛⲉⲓⲛⲉ ⲁⲩⲱ ⲙⲁⲣⲟⲩⲣϫⲟⲉⲓⲥ ⲉϩⲣⲁⲓ ⲉϫⲛ ⲛⲧⲃⲧ ⲛⲑⲁⲗⲁⲥⲥⲁ ⲙⲛ ⲛϩⲁⲗⲁⲁⲧⲉ ⲛⲧⲡⲉ ⲙⲛ ⲛⲧⲃⲛⲟⲟⲩⲉ ⲙⲛ ⲛⲉⲑⲏⲣⲓⲟⲛ ⲙⲡⲕⲁϩ ⲧⲏⲣϥ ⲁⲩⲱ ⲉϫⲛ ϫⲁⲧϥⲉ ⲛⲓⲙ ⲉⲧⲙⲟⲟϣⲉ ϩⲣⲁⲓ ϩⲓϫⲙ ⲡⲕⲁϩ
Genesis,1,27,ⲁⲡⲛⲟⲩⲧⲉ ⲧⲁⲙⲓⲟ ⲙⲡⲣⲱⲙⲉ ⲕⲁⲧⲁ ⲑⲓⲕⲱⲛ ⲙⲡⲛⲟⲩⲧⲉ ⲁϥⲧⲁⲙⲓⲟⲟⲩ ⲟⲩϩⲟⲟⲩⲧ ⲙⲛ ⲟⲩⲥϩⲓⲙⲉ ⲁϥⲧⲁⲙⲓⲟⲟⲩ
Genesis,1,28,ⲁϥⲥⲙⲟⲩ ⲉⲣⲟⲟⲩ ⲛϭⲓ ⲡⲛⲟⲩⲧⲉ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲁϣⲁⲓ ⲛⲧⲉⲧⲛⲁⲓⲁⲓ ⲛⲧⲉⲧⲛⲙⲉϩⲡⲕⲁϩ ⲛⲧⲉⲧⲛⲣϫⲟⲉⲓⲥ ⲉϫⲱϥ ⲁⲩⲱ ⲛⲧⲉⲧⲛⲁⲣⲭⲉⲓ ⲉϫⲛ ⲛⲧⲃⲧ ⲛⲑⲁⲗⲁⲥⲥⲁ ⲁⲩⲱ ⲉϫⲛ ⲛϩⲁⲗⲁⲁⲧⲉ ⲛⲧⲡⲉ ⲙⲛ ⲛⲧⲃⲛⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲙⲡⲕⲁϩ ⲁⲩⲱ ⲉϫⲛ ϫⲁⲧϥⲉ ⲛⲓⲙ ⲉⲧⲙⲟ[ⲟϣⲉ ϩⲣⲁⲓ ϩⲓϫⲙ ⲡⲕⲁϩ]
Genesis,1,29,
Genesis,1,30,
Genesis,1,31,ⲁⲡⲛⲟⲩⲧⲉ ⲛⲁⲩ ⲉⲛⲕⲁ ⲛⲓⲙ ⲛⲧⲁϥⲧⲁⲙⲓⲟⲟⲩ ⲁⲩⲱ ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲛⲁⲛⲟⲩⲟⲩ ⲉⲙⲁⲧⲉ
Genesis,2,1,
Genesis,2,2,ⲁⲩⲱ ϩⲙ ⲡⲙⲉϥⲥⲁϣϥ ⲛϩⲟⲟⲩ ⲁϥⲙⲧⲟⲛ ⲙⲙⲟϥ ⲉⲃⲟⲗ ϩⲛ ⲛⲉϥϩⲃⲏⲩⲉ ⲧⲏⲣⲟⲩ ⲛⲁⲓ ⲛⲧⲁϥⲧⲁⲙⲓⲟⲟⲩ ⲛϭⲓ ⲡⲛⲟⲩⲧⲉ
Genesis,2,3,
Genesis,2,4,
Genesis,2,5,
Genesis,2,6,
Genesis,2,7,ⲁϥⲛⲓϥⲉ ⲉϩⲟⲩⲛ ϩⲙ ⲡⲉϥϩⲟ ⲛⲟⲩⲡⲛⲟⲏ ⲛⲱⲛϩ ⲁⲡⲣⲱⲙⲉ ϣⲱⲡⲉ ⲉⲩⲯⲩⲭⲏ ⲉⲥⲟⲛϩ
Genesis,2,8,ⲁⲡⲛⲟⲩⲧⲉ ⲧⲱϭⲉ ⲛⲟⲩⲡⲁⲣⲁⲇⲓⲥⲟⲥ ϩⲛ ⲉⲇⲉⲙ ⲕⲁⲧⲁ ⲙⲙⲁ ⲛϣⲁ ⲁϥⲕⲱ ⲙⲙⲁⲩ ⲙⲡⲣⲱⲙⲉ ⲡⲁⲓ ⲛ[ⲧⲁϥⲧⲁⲙⲓⲟϥ]
Genesis,2,9,ⲛⲡⲡⲉⲧⲛⲁⲛⲟⲩϥ ⲙⲛ ⲡⲡⲉⲧϩⲟⲟⲩ
Genesis,2,10,ⲟⲩⲛⲟⲩⲉⲓⲉⲣⲟ ⲛⲏⲩ ⲉⲃⲟⲗ ϩⲛ ⲉⲇⲉⲙ ⲉϥⲧⲥⲟ ⲙⲡⲡⲁⲣⲁⲇⲓⲥⲟⲥ ⲉⲃⲟⲗ ϩⲙ ⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ ϥⲡⲱⲣϫ ⲉϥⲧⲟⲉ ⲛⲁⲣⲭⲏ
Genesis,2,11,ⲡⲣⲁⲛ ⲙⲡⲟⲩⲁ ⲙⲙⲟⲟⲩ ⲡⲉ ⲫⲓⲥⲟⲛ ⲡⲁⲓ ⲡⲉⲧⲕⲱⲧⲉ ⲉⲡⲕⲁϩ ⲧⲏⲣϥ ⲛⲛⲉⲩⲉⲓⲗⲁⲧ ⲉϥⲙⲙⲁⲩ ⲛϭⲓ ⲡⲛⲟⲩⲃ
Genesis,2,12,ⲡⲛⲟⲩⲃ ⲇⲉ ⲙⲡⲕⲁϩ ⲉⲧⲙⲙⲁⲩ ⲛⲁⲛⲟⲩϥ ⲁⲩⲱ ⲉϥⲙⲙⲁⲩ ⲛϭⲓ ⲡⲁⲛⲑⲣⲁⲝ ⲙⲛ ⲡⲱⲛⲉ ⲛⲁⲩⲁⲁⲛ ⲛⲏϭⲉ
